"check_id","status","expected","observed","detail"
"result_top_assignments_preserved","PASS","alternative_combined_ratio|alternative_counts|alternative_participant_ratio|alternative_preparation_id|chest_combined_ratio|chest_counts|chest_dominance|chest_dominance_comparison|chest_id|chest_participant_ratio|chest_variation|cluster_acf|concurvity|cyclic_combined_ratio|cyclic_participant_ratio|deviations_data|deviations_model|diagnostic_table_data|dominance|dominance_comparison|dominance_comparison_data|dominance_table_data|extract_ratio|fmt_ci|fmt_number|fmt_p_value|fmt_percent_ci|formula_sensitivity|h02_gt|k_checks|make_sensitivity_row|model_comparisons|model_fits|near_combined_ratio|near_counts|near_dominance|near_dominance_comparison|near_id|near_participant_ratio|near_variation|paired_chest_combined_ratio|paired_chest_counts|paired_chest_id|paired_chest_participant_ratio|paired_near_combined_ratio|paired_near_counts|paired_near_id|paired_near_participant_ratio|paired_placement_curves|paired_placement_plot_data|paired_site_levels|pointwise_windows|preparation_sensitivity|primary_ratios|ratio_row|read_h02_csv|residual_acf|residual_summary|root|sample_by_site|sample_counts|sample_overall|sensitivity_display|site_registry|site_test|support_audit|sz_checks|variation|variation_table_data|window_table_data","alternative_combined_ratio|alternative_counts|alternative_participant_ratio|alternative_preparation_id|chest_combined_ratio|chest_counts|chest_dominance|chest_dominance_comparison|chest_id|chest_participant_ratio|chest_variation|cluster_acf|concurvity|cyclic_combined_ratio|cyclic_participant_ratio|deviations_data|deviations_model|diagnostic_table_data|dominance|dominance_comparison|dominance_comparison_data|dominance_table_data|extract_ratio|fmt_ci|fmt_number|fmt_p_value|fmt_percent_ci|formula_sensitivity|h02_gt|k_checks|make_sensitivity_row|model_comparisons|model_fits|near_combined_ratio|near_counts|near_dominance|near_dominance_comparison|near_id|near_participant_ratio|near_variation|paired_chest_combined_ratio|paired_chest_counts|paired_chest_id|paired_chest_participant_ratio|paired_near_combined_ratio|paired_near_counts|paired_near_id|paired_near_participant_ratio|paired_placement_curves|paired_placement_plot_data|paired_site_levels|pointwise_windows|preparation_sensitivity|primary_ratios|ratio_row|read_h02_csv|residual_acf|residual_summary|root|sample_by_site|sample_counts|sample_overall|sensitivity_display|site_registry|site_test|support_audit|sz_checks|variation|variation_table_data|window_table_data",""
"companion_only_write_assignment_removed","PASS","baseline assignments except response_source_dir","acf_display|ar_boundary_audit|ar_reason_labels|chest_frame|chest_frame_path|chest_id|clock_support|comparison_labels|current_input_ids|day_support|environment_table|exact_hashes|format_count|input_audit|input_role_labels|is_project_root|manifest_registry|model_comparisons|model_fit|near_frame|near_frame_path|near_id|placement_colors|placement_labels|prep_gt|primary_frames|read_h02_csv|relative_path|residual_acf|response_distribution_positive|response_distribution_zeros|root|root_candidates|sample_counts|scenario_labels|site_day_denominators|site_registry|site_summary|spec|support_audit",""
"result_endpoint_sets_preserved","PASS","15 tables and 5 figures, all once","15 5",""
"result_endpoint_order","PASS","fig-h02-near-patterns|fig-h02-chest-patterns|fig-h02-paired-placement-curves|fig-h02-near-diagnostics|fig-h02-chest-diagnostics|tbl-h02-near-variation|tbl-h02-near-dominance|tbl-h02-near-relevance|tbl-h02-near-windows|tbl-h02-chest-variation|tbl-h02-chest-dominance|tbl-h02-chest-relevance|tbl-h02-chest-windows|tbl-h02-near-diagnostics|tbl-h02-chest-diagnostics|tbl-h02-sensitivity|tbl-h02-near-sample|tbl-h02-chest-sample|tbl-h02-model-deviations|tbl-h02-data-deviations","fig-h02-near-patterns|fig-h02-chest-patterns|fig-h02-paired-placement-curves|fig-h02-near-diagnostics|fig-h02-chest-diagnostics|tbl-h02-near-variation|tbl-h02-near-dominance|tbl-h02-near-relevance|tbl-h02-near-windows|tbl-h02-chest-variation|tbl-h02-chest-dominance|tbl-h02-chest-relevance|tbl-h02-chest-windows|tbl-h02-near-diagnostics|tbl-h02-chest-diagnostics|tbl-h02-sensitivity|tbl-h02-near-sample|tbl-h02-chest-sample|tbl-h02-model-deviations|tbl-h02-data-deviations",""
"companion_endpoint_contract","PASS","16 tables and 4 figures, all once","16 4",""
"result_endpoint_code_byte_preserved","PASS","every endpoint chunk body unchanged","",""
"companion_endpoint_science_preserved_after_display_canonicalization","PASS","every endpoint chunk differs only by approved display labels","",""
"companion_response_objects_preserved_without_writes","PASS","in-memory objects unchanged; write-only tail removed","compared canonical chunk bodies",""
"result_selected_wilkinson_formula","PASS","s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")","all four exact terms present",""
"companion_selected_wilkinson_formula","PASS","s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")","all four exact terms present",""
"registration_link_mapping","PASS","dev-001|rep-001|rep-002|dev-012|dev-012|dev-011|dev-010|dev-011|dev-021|imp-005|dev-012|imp-015|dev-019|dev-057|imp-017|dev-021|dev-005|imp-012|rep-003|imp-002|dev-049|dev-050","dev-001|rep-001|rep-002|dev-012|dev-012|dev-011|dev-010|dev-011|dev-021|imp-005|dev-012|imp-015|dev-019|dev-057|imp-017|dev-021|dev-005|imp-012|rep-003|imp-002|dev-049|dev-050",""
"registration_anchor_targets_resolve","PASS","18 unique central anchors","18",""
"reciprocal_qmd_links","PASS","dynamic relative QMD links in both directions","result, companion, and anchored registration links found",""
"no_hard_coded_internal_page_links","PASS","no .html, file://, _build, absolute-local, or root-absolute page links","scanned both QMD sources",""
"reader_multiplicity_vocabulary","PASS","FDR reader vocabulary without internal family ID or BH abbreviation","scanned both QMD sources",""
"no_prose_em_dash","PASS","no prose em dash; missing-value symbol excepted","scanned both QMD sources",""
"no_project_side_writes_in_qmd_chunks","PASS","no project-side write calls","",""
"historical_preparation_manifest_identity","PASS","c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7","c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7",""
"historical_preparation_mismatch_set","PASS","_quarto-nathealth.yml|audit/hypotheses/H02/H02_analysis_preparation.qmd|notebooks/hypotheses/H02.qmd","_quarto-nathealth.yml|audit/hypotheses/H02/H02_analysis_preparation.qmd|notebooks/hypotheses/H02.qmd",""
"historical_worker_manifest_identity","PASS","0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331","0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331",""
"historical_worker_mismatch_set","PASS","audit/handoffs/H02_shared_change_request.md|audit/hypotheses/H02/H02_analysis_preparation.qmd|notebooks/hypotheses/H02.qmd|tests/hypotheses/H02/test_h02_paired_placement_display.R|tests/hypotheses/H02/test_h02_preparation_report.R|tests/hypotheses/H02/test_h02_reader_report.R","audit/handoffs/H02_shared_change_request.md|audit/hypotheses/H02/H02_analysis_preparation.qmd|notebooks/hypotheses/H02.qmd|tests/hypotheses/H02/test_h02_paired_placement_display.R|tests/hypotheses/H02/test_h02_preparation_report.R|tests/hypotheses/H02/test_h02_reader_report.R",""
"protected_artifact_identities","PASS","30 protected identities","",""
"source_diff_status_notebooks_hypotheses_H02_qmd","PASS","git diff --no-index status 0 or 1","1",""
"source_diff_status_audit_hypotheses_H02_H02_analysis_preparation_qmd","PASS","git diff --no-index status 0 or 1","1",""
"source_diff_status_tests_hypotheses_H02_test_h02_reader_report_R","PASS","git diff --no-index status 0 or 1","1",""
"source_diff_status_tests_hypotheses_H02_test_h02_preparation_report_R","PASS","git diff --no-index status 0 or 1","1",""
"source_diff_status_tests_hypotheses_H02_test_h02_paired_placement_display_R","PASS","git diff --no-index status 0 or 1","1",""
"source_diff_status_audit_handoffs_H02_worker_handoff_md","PASS","git diff --no-index status 0 or 1","1",""
"focused_test_reader_source_only","PASS","exit status 0","0","All H02 reader-report source-only tests passed"
"focused_test_preparation_source_only","PASS","exit status 0","0","All H02 preparation-report source-only tests passed"
"focused_test_paired_placement","PASS","exit status 0","0","All H02 paired-placement display tests passed"
"scoped_git_diff_check","PASS","exit status 0","0",""
